Station ID,Station Name,Town,Region,Country,Building Condition,Service Status,Service Status Year,Lat,Lon,Station Notes,Stop Sequence,Line ID,Line Name,Year Opened,Gauge,Line Status,Line Status Year,Line Notes,Is in NP-M
5,Riisselja,Sigaste,Pärnu maakond,Estonia,Dismantled/Not built,Closed,1975,58.212537,24.821608,,1,2,Riisselja–Orajõe,1923,750 mm,Dismantled,1975,,FALSE
10,Ristiküla,Ristiküla,Pärnu maakond,Estonia,Residential,Closed,1975,58.194118,24.746249,Off the main road,2,2,Riisselja–Orajõe,1923,750 mm,Dismantled,1975,,FALSE
11,Timmkanali,Kõveri,Pärnu maakond,Estonia,Dismantled/Not built,Closed,1975,58.145856,24.687848,,3,2,Riisselja–Orajõe,1923,750 mm,Dismantled,1975,,FALSE
12,Laiksaare,Nepste,Pärnu maakond,Estonia,Dismantled/Not built,Closed,1975,58.088611,24.630953,,4,2,Riisselja–Orajõe,1923,750 mm,Dismantled,1975,,FALSE
13,Massiaru,Massiaru,Pärnu maakond,Estonia,Dismantled/Not built,Closed,1975,58.002902,24.565027,"Presumed demolished, not visible on map",5,2,Riisselja–Orajõe,1923,750 mm,Dismantled,1975,,FALSE
14,Teaste,Majaka,Pärnu maakond,Estonia,Dismantled/Not built,Closed,1975,57.95977,24.5333,,6,2,Riisselja–Orajõe,1923,750 mm,Dismantled,1975,,FALSE
15,Orajõe,Metsapoole,Pärnu maakond,Estonia,Dismantled/Not built,Closed,1975,57.903263,24.436563,,7,2,Riisselja–Orajõe,1923,750 mm,Dismantled,1975,,FALSE
16,Ikla,Ikla,Pärnu maakond,Estonia,Residential,Closed,1975,57.877217,24.367527,,8,2,Riisselja–Orajõe,1923,750 mm,Dismantled,1975,,FALSE
17,Ainaži,Ainaži,Limbažu novads,Latvia,Non-railway use,Closed,1977,57.869711,24.359375,Museum,9,2,Riisselja–Orajõe,1923,750 mm,Dismantled,1975,,FALSE
18,Valga,Valga,Valga maakond,Estonia,Active,Operational,2024,57.774717,26.053239,,1,3,Valka—Rūjiena,1896,750 mm,Dismantled,1977,Section from Rūjiena operating as Rīga—Rūjiena—Ipiķi,FALSE
19,Valka,Valka,Valkas novads,Latvia,Ruined/Disused,Closed,1944,57.773581,26.003783,Info outside,2,3,Valka—Rūjiena,1896,750 mm,Dismantled,1977,Section from Rūjiena operating as Rīga—Rūjiena—Ipiķi,FALSE
20,Pedele,Pedele,Valkas novads,Latvia,Dismantled/Not built,Closed,1944,57.810735,25.922861,,3,3,Valka—Rūjiena,1896,750 mm,Dismantled,1977,Section from Rūjiena operating as Rīga—Rūjiena—Ipiķi,FALSE
21,Ērģeme,Ērģeme,Valkas novads,Latvia,Residential,Closed,1944,57.837575,25.82945,,4,3,Valka—Rūjiena,1896,750 mm,Dismantled,1977,Section from Rūjiena operating as Rīga—Rūjiena—Ipiķi,FALSE
22,Omuļi,Ērģeme,Valkas novads,Latvia,Dismantled/Not built,Closed,1944,57.857871,25.75264,,5,3,Valka—Rūjiena,1896,750 mm,Dismantled,1977,Section from Rūjiena operating as Rīga—Rūjiena—Ipiķi,FALSE
